id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,,0.62,0.56,0.36,0.14,0.14,0.22,0.19,0.58,0.13,0.13,0.05,0.16,0.11,0.13,0.07,0.1,0.11,0.1,0.16,0.09,0.12,0.08,0.14,0.45,0.09,0.09,0.14,0.18,0.12,0.11,0.99
1,0.13,,0.16,0.13,0.2,0.18,0.19,0.21,0.1,0.26,0.11,0.15,0.68,0.22,0.47,0.38,0.28,0.21,0.13,0.09,0.43,0.16,0.35,0.26,0.15,0.29,0.44,0.27,0.21,0.14,0.17,0.1
2,0.59,0.54,,0.3,0.25,0.3,0.31,0.1,0.43,0.2,0.12,0.11,0.11,0.17,0.13,0.08,0.14,0.21,0.14,0.08,0.07,0.18,0.12,0.13,0.53,0.12,0.06,0.11,0.11,0.09,0.19,0.51
3,0.97,0.73,0.5,,0.18,0.18,0.23,0.17,0.69,0.11,0.14,0.06,0.14,0.15,0.11,0.05,0.1,0.17,0.18,0.14,0.12,0.07,0.08,0.07,0.4,0.05,0.12,0.15,0.09,0.15,0.15,0.98
4,0.09,0.14,0.19,0.12,,0.27,0.59,0.19,0.14,0.84,0.13,0.51,0.61,0.72,0.14,0.09,0.8,0.72,0.15,0.25,0.21,0.58,0.5,0.72,0.5,0.25,0.13,0.12,0.7,0.13,0.8,0.13
5,0.44,0.38,0.3,0.28,0.24,,0.21,0.21,0.48,0.19,0.15,0.13,0.22,0.12,0.12,0.12,0.2,0.26,0.12,0.12,0.14,0.09,0.12,0.1,0.15,0.07,0.11,0.2,0.19,0.11,0.13,0.42
6,0.16,0.17,0.14,0.09,0.14,0.22,,0.25,0.06,0.24,0.1,0.18,0.63,0.3,0.46,0.4,0.35,0.28,0.15,0.14,0.4,0.18,0.42,0.32,0.16,0.35,0.29,0.3,0.21,0.17,0.24,0.07
7,0.12,0.14,0.14,0.19,0.19,0.12,0.12,,0.13,0.07,0.12,0.12,0.48,0.19,0.59,0.57,0.13,0.2,0.19,0.23,0.58,0.1,0.11,0.14,0.09,0.32,0.53,0.43,0.13,0.14,0.15,0.17
8,0.53,0.46,0.44,0.31,0.21,0.26,0.1,0.13,,0.15,0.15,0.08,0.16,0.11,0.11,0.12,0.14,0.26,0.15,0.17,0.18,0.21,0.12,0.08,0.3,0.12,0.09,0.14,0.14,0.11,0.12,0.49
9,0.9,0.82,0.93,0.44,0.15,0.57,0.77,0.1,0.64,,0.1,0.4,0.46,0.71,0.15,0.13,0.57,0.52,0.09,0.13,0.13,0.4,0.38,0.55,0.83,0.14,0.07,0.08,0.63,0.09,0.58,0.94
