update,timesteps,episodes,seeker_reward_mean,seeker_reward_std,hider_reward_mean,hider_reward_std,episode_length_mean,seeker_win_rate,hider_win_rate,seeker_policy_loss,seeker_value_loss,hider_policy_loss,hider_value_loss,fps
10,163840,951,-0.30980095,8.474259,7.743203,12.0293865,153.5310199789695,0.39957939011566773,0.6004206098843323,-0.04783035069704056,0.3508793115615845,-0.04712936282157898,0.7069058418273926,1356.4933612133004
20,327680,2456,5.8641424,7.426671,-1.0587469,10.202626,109.76943521594684,0.7501661129568107,0.24983388704318937,-0.011203322559595108,0.5566434264183044,-0.04500293359160423,0.7031456232070923,1320.30844519162
30,491520,4540,7.930413,5.8803678,-4.3862057,8.2646,81.2778310940499,0.8651631477927063,0.13483685220729366,-0.045685939490795135,0.8562489748001099,-0.047965217381715775,0.9340994358062744,1550.9188065343963
40,655360,7114,10.097946,1.6488858,-7.24662,2.8482964,63.759129759129756,0.9906759906759907,0.009324009324009324,-0.03957119956612587,0.7443336248397827,-0.04258280619978905,0.7415956258773804,1632.3281802552926
50,819200,9518,10.029412,1.8963077,-6.954203,3.0491207,67.08028286189683,0.9875207986688852,0.012479201331114808,-0.035648901015520096,0.5639901161193848,-0.019259795546531677,0.5901792049407959,1664.0706394570273
60,983040,11283,7.7614,5.9816203,-3.9864173,7.856019,89.13314447592067,0.8560906515580736,0.14390934844192635,-0.02768096514046192,0.33929139375686646,-0.03776521235704422,0.4315597712993622,1686.2107269076198
70,1146880,12802,5.9834647,7.3247886,-1.6322217,9.478571,107.89466754443713,0.7537853851217906,0.24621461487820934,-0.026189742609858513,0.3163226246833801,-0.028340060263872147,0.4263734817504883,1654.113318430685
80,1310720,14200,5.895787,7.310164,-1.3959323,9.23912,115.22675250357653,0.7496423462088698,0.2503576537911302,-0.026166118681430817,0.24348950386047363,-0.03852447494864464,0.33613085746765137,1655.7033342073437
90,1474560,15456,4.077894,8.072729,0.77785057,9.827816,130.83041401273886,0.642515923566879,0.357484076433121,-0.01653556525707245,0.26652970910072327,-0.03393644839525223,0.3892974853515625,1678.7834747214802
100,1638400,16680,3.5895889,8.190793,1.3022696,9.961974,135.09640522875816,0.6143790849673203,0.38562091503267976,-0.02663102000951767,0.25720837712287903,-0.03260029852390289,0.3874906897544861,1719.6822611382552
110,1802240,17934,3.9646149,8.107622,0.8647685,9.89136,131.54465709728868,0.6355661881977671,0.36443381180223283,-0.03142489865422249,0.28981471061706543,-0.034002356231212616,0.4177960157394409,1715.9466118599303
