update,timesteps,episodes,seeker_reward_mean,seeker_reward_std,hider_reward_mean,hider_reward_std,episode_length_mean,seeker_win_rate,hider_win_rate,seeker_policy_loss,seeker_value_loss,hider_policy_loss,hider_value_loss,fps
10,163840,981,0.31902274,8.595945,6.818011,12.290892,146.82466870540264,0.436289500509684,0.563710499490316,-0.048590537160634995,0.28115272521972656,-0.04511725902557373,0.5603730082511902,2167.1274939011864
20,327680,2454,5.6207843,7.5704865,-0.69324374,10.384842,111.18058384249831,0.7352342158859471,0.26476578411405294,-0.047256119549274445,0.388179749250412,-0.04755198210477829,0.5214978456497192,2326.610837817368
30,491520,4897,9.460482,3.5772278,-6.342774,5.263936,70.8960294719607,0.9541547277936963,0.045845272206303724,-0.044393278658390045,0.7681602239608765,-0.04581751301884651,0.7776123285293579,2216.888847085692
40,655360,7611,10.249018,0.6020501,-7.433677,1.8838046,60.37324981577008,0.998894620486367,0.001105379513633014,-0.04081514850258827,0.7328261137008667,-0.04177001118659973,0.693996012210846,2303.1781798709953
50,819200,10123,10.204718,0.8614773,-7.0890536,2.1082404,65.23527070063695,0.9976114649681529,0.0023885350318471337,-0.03845028206706047,0.643595278263092,-0.04162100329995155,0.6386117935180664,2316.9745081711626
60,983040,12424,10.081381,1.5642941,-6.669523,2.8763225,70.40851803563667,0.9917427205562799,0.008257279443720122,-0.03791029006242752,0.5291405320167542,-0.033154428005218506,0.5998384952545166,2364.5924447936495
70,1146880,14358,9.253038,3.8921316,-5.219138,5.6349244,82.67476732161323,0.9457083764219235,0.05429162357807653,-0.03539075329899788,0.397643506526947,-0.04041701555252075,0.5043563842773438,2357.0706262352164
80,1310720,15725,6.1400943,7.229413,-0.34593472,9.709173,115.44989027066569,0.7681053401609363,0.23189465983906365,-0.032426249235868454,0.23720963299274445,-0.039608199149370193,0.3989998698234558,2381.3793501167393
90,1474560,16766,-0.32307684,8.426879,7.8680577,11.119804,155.56195965417868,0.39481268011527376,0.6051873198847262,-0.03484974801540375,0.19730792939662933,-0.03472786396741867,0.3901822566986084,2385.292741845213
100,1638400,17855,0.49583426,8.501463,6.458272,11.146115,150.83930211202937,0.4389348025711662,0.5610651974288338,-0.033704861998558044,0.20951014757156372,-0.036950357258319855,0.41124260425567627,2379.7963992352156
110,1802240,18974,1.2909288,8.564874,5.2952204,11.045372,146.06166219839142,0.48525469168900803,0.514745308310992,-0.03154618293046951,0.22089846432209015,-0.03759503737092018,0.4320160746574402,2355.8255498794474
120,1966080,20099,1.3610822,8.52476,5.082024,10.865627,147.85066666666665,0.4888888888888889,0.5111111111111111,-0.03013426624238491,0.23573128879070282,-0.03684154897928238,0.4279283583164215,2318.7647058358248
130,2129920,21250,1.8920357,8.521226,4.208783,10.901073,141.5238922675934,0.5178105994787141,0.48218940052128584,-0.03015308827161789,0.23603694140911102,-0.03367047756910324,0.40577220916748047,2280.157583968649
140,2293760,22387,1.5313749,8.492594,4.62998,10.780424,144.52330694810905,0.49428320140721194,0.5057167985927881,-0.03229348361492157,0.20603540539741516,-0.03162284567952156,0.38496819138526917,2216.677753720346
150,2457600,23556,2.1769834,8.476222,3.7301033,10.728191,139.66809238665527,0.5337895637296834,0.4662104362703165,-0.02210460603237152,0.20130640268325806,-0.03747819364070892,0.3522496521472931,2165.717140500342
160,2621440,24772,3.276697,8.317206,2.5488873,10.432303,135.90296052631578,0.5978618421052632,0.40213815789473684,-0.032100431621074677,0.27332139015197754,-0.035967789590358734,0.4241909980773926,2146.738774089592
170,2785280,25977,3.4700844,8.250066,2.1225216,10.102687,135.33112033195022,0.6082987551867219,0.391701244813278,-0.02848108857870102,0.220721036195755,-0.03646519407629967,0.3455938398838043,2150.424390116254
180,2949120,27186,3.1118538,8.32426,2.4911091,10.328266,137.0818858560794,0.586435070306038,0.41356492969396197,-0.03172525390982628,0.2604367136955261,-0.03435765951871872,0.41469496488571167,2111.118918359358
190,3112960,28397,4.0626597,8.079241,1.4318857,9.930924,133.89595375722544,0.6440957886044592,0.35590421139554085,-0.0317436121404171,0.23039589822292328,-0.03621269017457962,0.36919331550598145,2057.757756513992
200,3276800,29636,4.4006357,7.9603643,0.94111353,9.723717,132.12752219531882,0.6634382566585957,0.3365617433414044,-0.029239004477858543,0.20638760924339294,-0.03504299372434616,0.3666374087333679,2020.7049155479403
210,3440640,30881,4.2255154,8.003769,1.0595245,9.825672,133.35180722891567,0.653012048192771,0.3469879518072289,-0.02993656136095524,0.3185538053512573,-0.03731565549969673,0.4545474350452423,2036.2584927053053
220,3604480,32203,5.206048,7.643369,-0.33009443,9.36164,123.77458396369137,0.7087745839636914,0.29122541603630864,-0.029359081760048866,0.24229952692985535,-0.03619486838579178,0.3814470171928406,1989.0272290182404
230,3768320,33565,5.145757,7.704548,-0.2650529,9.437024,121.33553597650514,0.7055800293685757,0.2944199706314244,-0.028750460594892502,0.31437212228775024,-0.036651115864515305,0.44428595900535583,1903.8551120170284
240,3932160,34882,5.5922966,7.444677,-0.71126634,9.1422825,122.16552771450266,0.7327258921791951,0.26727410782080485,-0.028886398300528526,0.25588202476501465,-0.03669460862874985,0.39387840032577515,1834.7050325419484
250,4096000,36201,5.1603947,7.6739264,-0.012641449,9.439685,125.66186504927975,0.7081122062168309,0.2918877937831691,-0.03202417492866516,0.22780074179172516,-0.035054758191108704,0.393535852432251,1774.2000111975387
260,4259840,37525,5.013843,7.7478337,-0.019330684,9.531591,123.45090634441088,0.6978851963746223,0.3021148036253776,-0.03130543977022171,0.22882355749607086,-0.03501453250646591,0.3678138852119446,1725.1647325089684
270,4423680,38895,5.2725587,7.6411824,-0.29618672,9.418608,120.18540145985402,0.7131386861313869,0.28686131386861313,-0.02972419373691082,0.25000226497650146,-0.0332300066947937,0.3836219310760498,1677.6673167098938
280,4587520,40224,5.0734944,7.733001,-0.11547865,9.464553,122.06094808126412,0.7012791572610986,0.2987208427389014,-0.030232250690460205,0.24981659650802612,-0.032986149191856384,0.3696376085281372,1602.5679514384506
290,4751360,41579,4.934554,7.7902546,-0.055692643,9.426868,122.17638376383763,0.692250922509225,0.3077490774907749,-0.031053602695465088,0.21917590498924255,-0.033528998494148254,0.3704049587249756,1554.890004307574
300,4915200,42910,4.5746746,7.9337397,0.28732955,9.641689,122.84222389181068,0.6701728024042074,0.32982719759579265,-0.024600794538855553,0.19751578569412231,-0.0346754789352417,0.3472321629524231,1518.6311973593902
306,5013504,43693,4.4727297,7.962145,0.2991183,9.586077,124.18135376756067,0.6641123882503193,0.33588761174968074,-0.02968847006559372,0.25008291006088257,-0.03390838950872421,0.37771984934806824,1494.4839889337975
