update,timesteps,episodes,seeker_reward_mean,seeker_reward_std,hider_reward_mean,hider_reward_std,episode_length_mean,seeker_win_rate,hider_win_rate,seeker_policy_loss,seeker_value_loss,hider_policy_loss,hider_value_loss,fps,time_elapsed
10,20480,87,-0.6529960569459945,7.653807226822529,0.7125362809854506,7.638250812432682,11.908045977011493,0.3333333333333333,0.6666666666666666,-0.009396321140229702,0.04574213922023773,-0.008648358285427094,0.04394145309925079,235.2123805436489,87.07024669647217
20,40960,225,-0.38471543090080546,7.7123174060756945,0.470874828286469,7.713989672443038,17.231884057971016,0.3422222222222222,0.6577777777777778,-0.013557292520999908,0.1998750865459442,-0.009645411744713783,0.21468228101730347,227.9136836389964,179.71716022491455
30,61440,374,3.2425476005191496,8.056317047659855,-3.1549637336033904,8.061351542116698,17.516778523489933,0.43315508021390375,0.5668449197860963,-0.0120176887139678,0.4492947459220886,-0.0098341666162014,0.45774105191230774,225.55818321315368,272.39091539382935
40,81920,581,9.558145268416428,3.3292756219416932,-9.477468969952765,3.3288156486294183,16.135265700483092,0.6196213425129088,0.3803786574870912,-0.013502340763807297,0.46750912070274353,-0.008983264677226543,0.46458449959754944,221.14934374854954,370.4284110069275
50,102400,767,8.284975281771352,5.262727135264464,-8.204195716225552,5.2632492612626125,16.155913978494624,0.6831812255541069,0.31681877444589307,-0.01152467355132103,0.2731976807117462,-0.006003489717841148,0.285552442073822,220.0170062197647,465.41856813430786
60,122880,960,8.672571437338059,4.912571905345157,-8.590965222140262,4.906385463541842,16.321243523316063,0.7260416666666667,0.27395833333333336,-0.013233921490609646,0.4897378981113434,-0.008393446914851665,0.4758830964565277,218.56804409237515,562.2047839164734
70,143360,1146,9.809094872343184,2.9172355867832755,-9.733530379954464,2.9209562792405688,15.112903225806452,0.7652705061082025,0.23472949389179756,-0.008777886629104614,0.38071927428245544,-0.009813648648560047,0.37510326504707336,218.36698200402716,656.5095083713531
80,163840,1336,8.959644759892438,4.5417112147638194,-8.880618463983563,4.540022240611533,15.805263157894737,0.7866766467065869,0.21332335329341318,0.027807438746094704,0.4944053292274475,-0.004349066875874996,0.5023201107978821,217.81634325374964,752.1933274269104
90,184320,1553,8.85432875531292,4.757948118981531,-8.770526931603968,4.754372804058275,16.76036866359447,0.8036059240180297,0.19639407598197037,0.010769925080239773,0.6665303707122803,-0.008858981542289257,0.7103920578956604,217.22479925604287,848.5219027996063
100,204800,1751,8.62913718999768,5.109560839955317,-8.549061447412546,5.107000337409244,16.015151515151516,0.8138206739006282,0.1861793260993718,-0.0061815474182367325,0.39099380373954773,0.0015768848825246096,0.4343959093093872,216.70106792883,945.0807139873505
110,225280,1979,8.569941974164339,5.145438754068364,-8.494152481545155,5.139894706394067,15.157894736842104,0.8226376958059626,0.1773623041940374,-0.0025334639940410852,0.2882249653339386,-0.008763095363974571,0.30540138483047485,217.17928960777695,1037.299644947052
120,245760,2206,8.952246661804665,4.579776288546649,-8.877599081793791,4.582969890210893,14.929515418502202,0.8322756119673618,0.16772438803263826,0.012230667285621166,0.6582088470458984,-0.011256149969995022,0.6568579077720642,217.38168087728226,1130.5460469722748
130,266240,2439,9.599939194195125,3.370420252336723,-9.520239603303997,3.373926134448325,15.939914163090128,0.8441984419844198,0.15580155801558015,-0.00896042212843895,0.425991952419281,-0.0036544916220009327,0.45122256875038147,217.46053840606862,1224.3140845298767
